# {"t_start": 1557844783.3847659, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
2.951683,65,5.777024,5,0.910926
1.811838,65,0.305208,0,0.955947
43.658674,65,304.182699,39,0.998051
2.592917,65,162.174952,40,1.045144
-7.332649,65,56.999745,28,1.098859
-12.802,65,34.8743,22,1.145902
-2.420313,65,158.927452,44,1.188605
7.895558,65,236.898217,47,1.230165
-0.539267,65,8.572885,8,1.273105
3.170807,65,50.835554,22,1.314608
-0.360679,65,10.656875,9,1.363059
0.089025,65,5.449754,4,1.405559
1.550902,65,32.586439,24,1.449414
0.352768,65,33.86954,21,1.498953
-0.969368,65,170.805437,49,1.557986
-4.801619,65,218.683452,56,1.610035
-15.821509,65,78.35466,27,1.657282
-0.991296,65,85.880646,41,1.699353
1.010933,65,17.083908,12,1.745189
-1.464676,65,5.152268,3,1.7911
0.087103,65,3.470176,2,1.846869
-0.140678,65,13.062091,10,1.890883
2.14507,65,48.468719,24,1.932775
3.862936,65,188.818874,33,1.975263
-35.78793,65,179.223008,52,2.019386
-1.626457,65,48.330936,30,2.070738
-1.043651,65,58.246643,29,2.114331
3.239114,65,129.668131,33,2.156739
22.56547,65,236.111305,46,2.200158
-1.453657,65,156.461066,41,2.242039
1.866164,65,74.191565,31,2.284419
17.268931,65,49.564812,22,2.907498
-4.055996,65,59.994777,26,2.95212
5.156849,65,124.843306,42,2.996763
-3.388189,65,32.81207,15,3.043309
0.011429,65,88.501919,32,3.093616
0.385082,65,1.913456,1,3.16164
2.625238,65,212.605457,36,3.252542
2.174549,65,143.515699,57,3.359557
2.894882,65,37.174515,18,3.429842
-10.446296,65,218.199518,52,3.491981
-4.006396,65,37.764164,26,3.545103
-4.494923,65,88.774716,43,3.609759
-0.750542,65,1.601639,1,3.678698
1.934694,65,216.378966,55,3.763711
-3.169048,65,9.140554,7,3.825137
0.580808,65,9.737156,8,3.918541
-5.881417,65,295.373475,49,3.993363
-2.587245,65,261.12636,46,4.069105
-11.463437,65,209.358604,36,4.150618
-5.004267,65,206.847282,54,4.208391
-0.674754,65,8.332585,6,4.255937
-2.894827,65,60.947343,18,4.300034
-1.428051,65,25.613828,12,4.345319
7.352432,65,298.198047,57,4.39029
0.940338,65,33.880253,18,4.435056
-1.031303,65,100.467608,34,4.482523
-3.806732,65,101.151657,33,4.535995
2.333571,65,83.360611,31,4.583906
0.3612,65,30.2017,11,4.628774
-0.917915,65,1.920758,1,4.675363
-0.849766,65,10.416525,8,4.720181
0.103395,65,178.368192,56,4.766637
