# {"t_start": 1557928291.189526, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
1.595815,65,4.882004,3,1.032852
3.396363,65,106.214719,32,1.077031
17.939871,65,307.500275,55,1.124692
-9.669769,65,190.684565,39,1.165941
-0.940264,65,114.721575,42,1.216082
0.526488,65,0.0,0,1.261037
22.900974,65,298.650803,43,1.31018
-1.918759,65,162.231772,36,1.352805
13.308337,65,422.741335,59,1.395006
6.043071,65,19.373555,16,1.43757
22.363229,65,280.2935,55,1.485454
1.069066,65,37.184023,23,1.535982
1.093992,65,80.599345,39,1.583045
2.323097,65,86.156512,36,1.627117
-0.866974,65,0.625159,1,1.675316
-0.519313,65,55.933865,38,1.721564
-1.034048,65,79.371065,37,1.767447
8.613703,65,91.914218,40,1.822618
-8.399101,65,15.736607,9,1.868189
0.698917,65,3.88821,2,1.914665
-1.274531,65,38.829134,20,1.95599
1.075768,65,9.862489,7,2.005344
-1.749888,65,13.630118,11,2.04749
4.352487,65,37.428141,20,2.090051
3.61202,65,160.243576,54,2.130885
0.699089,65,126.328269,40,2.180464
4.848833,65,54.124843,20,2.230634
1.333199,65,124.955807,39,2.272519
0.797283,65,143.556712,46,2.314965
4.865872,65,143.593443,36,2.360124
-14.008575,65,19.748607,7,2.40764
-1.333699,65,38.093223,23,3.126307
-1.159413,65,67.146815,29,3.16723
3.892909,65,17.886171,9,3.20791
0.788919,65,24.153203,19,3.248751
-0.454468,65,9.891727,10,3.295174
-0.580038,65,257.369932,44,3.340966
-5.36489,65,94.912542,35,3.382742
0.065409,65,0.845321,1,3.424962
2.246106,65,191.530703,46,3.465251
-0.832799,65,28.528788,11,3.508973
-4.742387,65,76.618205,40,3.551281
0.477394,65,9.119197,5,3.592237
-0.737363,65,50.766261,27,3.635726
4.810507,65,57.391938,23,3.67723
2.027943,65,201.323467,53,3.718059
-2.990505,65,77.286701,30,3.764062
-0.12025,65,2.456485,1,3.806031
-0.149891,65,173.355624,53,3.846689
4.573192,65,190.716767,45,3.886261
11.572569,65,126.817405,56,3.930432
0.803283,65,2.512063,3,3.971445
0.149149,65,1.813381,2,4.015746
1.011381,65,115.492533,27,4.058428
-0.515685,65,0.142147,0,4.100499
1.362171,65,8.697342,7,4.141892
-0.309243,65,90.807526,38,4.184576
0.959469,65,6.968204,6,4.233332
-1.202897,65,149.357302,42,4.276121
1.11005,65,103.093745,22,4.316785
1.721211,65,5.280817,4,4.35968
12.949561,65,215.468196,48,4.401104
0.611326,65,60.741251,33,4.443753
-0.987997,65,92.598909,38,5.082196
3.91931,65,2.356225,1,5.127037
-3.221545,65,42.058962,16,5.171103
-0.000282,65,0.62507,0,5.215422
-3.312122,65,120.167621,40,5.259343
-1.52761,65,43.265678,23,5.302753
3.569281,65,8.444482,5,5.350661
1.092977,65,38.425197,20,5.394333
-0.219592,65,20.510723,15,5.437904
0.846549,65,76.45052,29,5.481716
-2.813626,65,10.364261,9,5.526067
-5.87137,65,9.294404,8,5.569283
2.422201,65,97.647756,36,5.612518
-2.061467,65,14.030044,10,5.65599
11.147197,65,265.967723,42,5.699376
12.116011,65,31.528014,11,5.743728
-2.192256,65,43.743339,24,5.788811
1.275703,65,8.73299,8,5.832424
-1.288674,65,155.013179,54,5.875842
2.043517,65,6.922649,5,5.919623
-0.666604,65,58.124256,25,5.963254
0.723658,65,177.480353,43,6.003898
1.341651,65,112.368855,53,6.045404
-15.287879,65,291.48634,43,6.085795
3.61588,65,10.607469,7,6.125754
-1.540712,65,48.392162,31,6.165757
-1.523114,65,29.41422,17,6.2053
-0.749392,65,43.280017,21,6.245995
-2.780485,65,64.286354,34,6.2859
-5.041519,65,82.043601,36,6.328014
-1.3282,65,125.005149,34,6.368171
1.310497,65,88.974557,37,6.997769
-2.964218,65,137.305629,37,7.040908
-0.105407,65,157.178984,36,7.084316
-3.986927,65,8.112933,6,7.132124
2.477515,65,89.30778,39,7.174358
25.376788,65,377.842049,55,7.215055
-0.886476,65,35.199739,17,7.254938
0.475086,65,1.403747,2,7.294957
0.020999,65,18.103946,13,7.335273
-2.530664,65,38.77967,26,7.375018
-91.306028,65,80.366034,17,7.41676
-3.869999,65,42.419781,25,7.456372
2.235144,65,126.443946,52,7.496679
7.874422,65,418.096258,61,7.53656
-3.178761,65,16.697615,12,7.576738
4.806198,65,47.96041,21,7.616903
6.055006,65,149.390218,49,7.656838
5.410784,65,22.186496,17,7.698068
4.063233,65,328.473317,51,7.738689
-5.037229,65,269.112249,61,7.783087
-0.691009,65,9.066514,5,7.823392
0.668683,65,20.247816,10,7.863777
-0.972234,65,76.097761,32,7.904006
-6.098292,65,16.557305,11,7.945796
1.744332,65,77.897542,41,7.989932
4.46635,65,235.728776,44,8.030228
38.759284,65,238.445984,44,8.070503
-4.007782,65,72.913865,30,8.110593
-3.280369,65,4.129027,3,8.156912
-2.960724,65,0.23947,0,8.197866
-5.777922,65,104.966916,37,8.239016
7.780124,65,259.798396,59,8.279124
-0.114143,65,49.990209,19,8.888802
20.23076,65,103.898531,29,8.929463
-0.628573,65,23.826468,12,8.974606
0.365851,65,66.899928,31,9.020955
-3.192466,65,187.240802,37,9.069684
2.510359,65,58.804263,23,9.10976
0.8522,65,47.564479,20,9.149718
0.971941,65,80.300581,32,9.190353
-9.374014,65,334.819826,59,9.232869
-78.534205,65,113.009611,31,9.274274
-5.706277,65,10.214547,6,9.315131
4.659187,65,114.368509,46,9.35746
-0.014443,65,31.958825,16,9.397647
-0.412668,65,79.890979,42,9.437387
-0.058601,65,14.693511,10,9.477674
3.112563,65,173.486934,46,9.517914
0.691713,65,135.24157,31,9.560253
10.38283,65,276.414116,56,9.600199
-1.533799,65,118.2035,44,9.639894
6.985631,65,326.811126,56,9.679796
-2.121445,65,1.849933,0,9.721608
3.257619,65,16.733352,8,9.7637
0.363254,65,139.780057,49,9.81144
-0.282253,65,38.28367,17,9.855702
0.394535,65,91.105264,44,9.897919
-0.594286,65,8.807207,8,9.937919
2.251418,65,62.560732,39,9.979966
15.423297,65,204.957724,40,10.027971
-1.04059,65,29.906094,14,10.07432
-8.14784,65,37.784197,21,10.118142
4.370749,65,22.971807,19,10.161692
2.164817,65,227.07369,53,10.858121
11.832847,65,1.330875,0,10.89943
0.181981,65,22.044653,13,10.939509
4.90208,65,119.379533,41,10.97925
-5.434702,65,53.18416,33,11.019261
-2.553533,65,65.1626,32,11.059465
5.844364,65,174.528355,54,11.101497
46.73826,65,168.568647,41,11.141535
-2.972281,65,124.15464,49,11.187097
-0.676068,65,138.409589,49,11.231685
-4.983531,65,164.866606,54,11.272463
0.491593,65,16.825267,7,11.318193
3.724329,65,0.172042,0,11.362787
-0.82866,65,253.013762,58,11.407864
1.656619,65,16.941262,12,11.449651
-0.040664,65,90.387141,29,11.490911
0.865157,65,30.326406,15,11.535736
14.239676,65,236.893032,61,11.583166
-1.696478,65,16.6336,10,11.623376
-0.128604,65,58.275681,28,11.664659
1.088037,65,66.970368,24,11.707158
3.638219,65,105.246129,41,11.753002
4.91099,65,206.993354,41,11.799556
2.576918,65,8.767318,7,11.850528
-1.413742,65,21.911781,15,11.897925
25.299351,65,171.741864,42,11.944033
4.494203,65,258.414683,48,11.988516
1.24187,65,0.799481,0,12.034771
0.027052,65,1.870616,2,12.078163
3.826464,65,177.487661,44,12.119535
0.59463,65,119.034983,54,12.166435
0.320216,65,13.512964,13,12.211417
-7.53666,65,153.016489,42,12.905171
-0.001376,65,16.536991,12,12.950818
-1.859727,65,15.219936,11,12.998934
-2.767112,65,37.137939,20,13.042484
0.292956,65,2.390941,1,13.087668
21.235724,65,168.317887,50,13.131002
-4.477263,65,69.515878,27,13.183657
-1.623418,65,25.541244,12,13.226178
-0.043789,65,133.250255,36,13.270745
0.224328,65,188.228548,62,13.322929
17.366301,65,114.391183,42,13.365905
1.149431,65,29.806447,12,13.415659
0.716255,65,60.113065,33,13.459678
0.978219,65,292.946159,56,13.501401
-0.474981,65,27.629297,22,13.542914
-1.582564,65,219.039023,52,13.587377
0.437922,65,6.416748,6,13.630792
12.097286,65,327.513145,59,13.673796
0.57111,65,29.101403,13,13.71697
1.691524,65,4.711452,2,13.780434
14.812046,65,425.411036,64,13.827008
-0.704771,65,105.380702,46,13.870393
1.031309,65,7.816637,7,13.913303
2.686542,65,12.726402,6,13.957309
10.392574,65,262.985463,50,14.001626
-1.65322,65,79.499492,42,14.045485
-6.056612,65,366.616921,63,14.092235
1.711342,65,11.992138,7,14.13509
-0.183179,65,6.894293,2,14.180997
0.081623,65,62.17653,31,14.226001
13.280129,65,140.904082,52,14.273728
-3.132749,65,52.776013,22,14.920211
