alpha,alpha3,average_cost,batch_size,critic1 error,critic2 error,entropy,eplenmean,eplrewmean,eprewmean,lr_a,lr_c,lr_l,lyapunov error,lyapunov_lambda,policy_loss,target_entropy,tau,total_timesteps
1.020248,0.5,-24.852563575394864,256,6680.9204,6687.3076,-2.360293,92.6,15.588382356765186,-2301.347387081564,9.968083333333334e-05,0.00029904249999999997,0.00029904249999999997,1520.8517,0.8904184,-72.473976,-1,0.005,2048
1.1089245,,-27.95192340846315,,4532.4453,4537.9565,-1.0161359,70.4,0.0,-1967.8154079558058,9.932966666666668e-05,0.00029798899999999997,0.00029798899999999997,342.43167,0.7885087,-46.017128,,,4096
1.0777256,,-61.79855572215706,,5020.0674,5029.6787,-0.5330493,21.4,0.05332810796381295,-1322.489092454161,9.898200000000001e-05,0.00029694599999999997,0.00029694599999999997,98.13954,0.7225944,-31.877476,,,6144
0.96352756,,-50.42087226841181,,5173.464,5181.5146,-0.23278856,25.8,0.06588800201168263,-1300.8585045250247,9.863600000000001e-05,0.000295908,0.000295908,36.93106,0.66713625,-27.23985,,,8192
