# {"t_start": 1557933676.5145888, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
-1.223506,65,38.735188,17,1.123366
-1.513304,65,98.015871,39,1.174942
10.415631,65,115.400231,50,1.227487
-1.013989,65,7.66557,6,1.281532
3.76215,65,153.668409,47,1.325542
-1.922766,65,114.125624,37,1.368702
5.309732,65,336.352431,56,1.41243
3.908905,65,16.028825,11,1.456561
-1.303422,65,10.731056,10,1.501031
-0.227761,65,6.554366,6,1.545676
1.181763,65,29.263907,20,1.589939
1.521317,65,23.169287,16,1.633748
2.36854,65,82.643143,42,1.678948
38.950007,65,21.947671,14,1.729104
-0.165632,65,7.417214,5,1.776554
1.880226,65,55.417237,32,1.820229
-0.256999,65,16.248068,13,1.863847
-16.38754,65,183.497824,45,1.907173
0.605586,65,0.160025,0,1.952084
2.178871,65,129.707138,49,1.998664
-2.07637,65,8.74228,7,2.046932
0.055537,65,0.314569,0,2.093705
-0.053016,65,109.595244,51,2.141066
-0.413603,65,188.521804,51,2.188186
-7.598595,65,105.777482,48,2.236936
1.186005,65,54.408443,28,2.283934
0.517493,65,99.242779,40,2.330153
0.909781,65,1.594983,2,2.376239
-0.530806,65,24.046039,17,2.421534
-2.696315,65,44.879803,28,2.466086
-2.114914,65,9.271189,7,2.518762
0.964364,65,67.802187,34,3.270399
-12.227821,65,309.828474,60,3.314248
-2.860621,65,36.694538,21,3.357089
-0.160728,65,1.521743,1,3.400535
8.371383,65,245.940296,53,3.443852
4.013425,65,46.180096,22,3.5558
1.121775,65,41.609184,29,3.600052
-2.993048,65,164.441193,34,3.644108
0.758537,65,186.096884,56,3.689867
0.910917,65,0.127509,0,3.732837
-4.380537,65,70.962604,34,3.777249
20.456444,65,327.290181,48,3.82398
-0.232844,65,185.501129,61,3.877778
-3.648783,65,190.250098,39,3.928814
0.772836,65,25.96403,17,3.974915
5.606917,65,10.031009,9,4.021361
-11.359629,65,91.245799,23,4.068006
3.15005,65,67.53489,21,4.121775
0.363101,65,5.782213,3,4.166627
