# {"t_start": 1557845415.38322, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
1.657523,65,123.693802,39,14.724902
2.357687,65,131.691098,44,14.77409
0.305716,65,12.198167,9,14.825471
-1.385875,65,51.58255,31,14.867311
1.408779,65,11.824792,5,14.91078
-22.429585,65,241.927179,38,14.965102
-2.658726,65,13.964734,11,15.008814
13.185148,65,381.951209,44,15.051147
4.292648,65,152.384785,50,15.095033
-1.311107,65,217.252381,48,15.139484
2.022463,65,4.76457,3,15.183197
0.435531,65,212.961536,37,15.22555
-3.253536,65,122.557381,41,15.269281
8.096045,65,161.837506,49,15.329391
-4.906893,65,227.503761,37,15.373032
-3.770457,65,2.631998,2,15.439742
-0.691491,65,9.365168,8,15.489142
-1.065181,65,123.905764,49,15.530113
6.908608,65,81.623635,43,15.57245
1.000278,65,102.521859,33,15.615255
-35.622286,65,19.198922,11,15.657798
-2.590478,65,84.564301,21,15.715066
0.963042,65,5.118888,3,15.813101
9.678657,65,122.679945,43,15.873269
1.759257,65,6.805321,5,15.914649
1.325531,65,6.367676,3,15.961167
2.777735,65,90.75915,42,16.002923
3.508197,65,32.382481,21,17.069654
3.677891,65,29.869055,15,17.142237
2.65685,65,261.579216,60,17.214791
7.058038,65,67.611222,41,17.305069
-5.323965,65,177.109691,64,17.42366
2.398098,65,4.700348,5,17.472958
0.422101,65,132.893198,59,17.522033
-3.521149,65,227.966097,52,17.568791
0.301826,65,31.091427,19,17.616277
3.887897,65,68.589144,29,17.660012
5.981816,65,281.169892,58,17.704309
-0.639162,65,0.223978,0,17.749726
-3.664061,65,52.198335,31,17.795857
-0.879003,65,4.462698,5,17.858744
-1.021687,65,33.755777,21,17.901559
-0.521623,65,47.544813,22,17.945857
-1.716706,65,49.286893,28,17.995971
-10.225315,65,259.067813,39,18.038012
-0.327787,65,58.009125,34,18.082713
0.750237,65,173.111572,41,18.130366
4.650294,65,42.949559,23,18.196409
-3.822306,65,28.461457,21,18.242562
-1.671204,65,2.109801,2,18.286227
-3.816224,65,200.661267,39,18.336074
-6.833067,65,75.358029,20,18.38257
-0.736988,65,5.400114,4,18.42583
-1.263744,65,121.769552,35,18.467928
-2.855885,65,19.453926,10,18.512036
24.593974,65,189.630381,35,18.555688
-2.271704,65,12.128462,10,18.602235
2.625999,65,9.327187,6,18.671178
-3.167287,65,36.152956,22,19.18669
-7.007336,65,34.945213,17,19.231681
-1.374903,65,171.713096,40,19.274692
-1.6892,65,49.465122,23,19.317634
2.923547,65,93.036585,32,19.367867
3.279221,65,43.136989,20,19.416246
-2.140369,65,176.709192,50,19.458915
0.999302,65,59.108577,19,19.511596
-19.700486,65,39.672964,24,19.554807
0.843585,65,11.483462,9,19.597801
3.506647,65,85.202433,38,19.641205
-0.66843,65,85.590479,37,19.686276
2.566344,65,75.107917,43,19.732232
4.264785,65,56.471321,25,19.775422
-2.989919,65,49.641105,22,19.819382
-9.131349,65,115.360881,41,19.870168
0.288826,65,100.847819,59,19.947614
-3.992208,65,64.316129,22,20.035494
-2.140556,65,10.369933,8,20.148808
-2.662482,65,48.140164,14,20.275385
1.196031,65,114.735848,37,20.34749
-3.858913,65,7.296823,5,20.395491
-4.260696,65,71.521001,34,20.438536
-3.288071,65,48.341824,24,20.4831
0.678852,65,2.327427,1,20.525469
2.328597,65,31.6702,22,20.571653
0.087365,65,11.645664,8,20.618461
-21.601114,65,277.804298,47,20.66792
-1.184295,65,7.531983,6,20.733866
-2.513237,65,38.128847,22,20.779608
-5.341245,65,45.621528,17,20.830972
0.10667,65,10.33794,5,20.877299
1.111372,65,8.842654,7,21.402055
-5.330568,65,69.584943,35,21.473869
-5.854355,65,187.711909,46,21.535704
7.577404,65,103.720118,36,21.634049
1.53213,65,63.227526,33,21.719453
-3.270905,65,222.546948,37,21.768946
1.021475,65,104.760258,41,21.811508
-0.114053,65,13.91949,4,21.853599
-7.940768,65,302.892037,52,21.89497
-10.968234,65,246.727928,40,21.937126
0.839423,65,135.355588,32,21.985941
6.660062,65,41.503229,31,22.030422
0.165806,65,31.449833,17,22.073016
0.106064,65,145.670692,31,22.115188
-4.621028,65,204.532123,52,22.170189
-0.039076,65,0.0,0,22.233593
-0.788204,65,60.311895,29,22.297732
0.677433,65,309.310393,51,22.372438
10.117239,65,449.628192,57,22.432941
2.270868,65,37.210226,20,22.487469
0.005304,65,72.333004,31,22.541485
1.188788,65,8.646957,8,22.588543
6.854684,65,260.259104,62,22.630831
