# {"t_start": 1557684028.687756, "env_id": "Point-v1"} 
r,l,lr,violation,t
-443.771443,65,500.058988,0,0.965192
63.20866,65,0.342657,0,1.013033
42.11408,65,44.542285,0,1.059585
-10.045691,65,90.586363,0,1.107634
-6.99958,65,0.0,0,1.160569
-116.275462,65,22.428558,0,1.205505
80.485613,65,19.584582,0,1.248481
-6.977705,65,0.004979,0,1.300159
3.550428,65,18.532942,0,1.342943
74.970465,65,1.744287,0,1.387135
27.066761,65,60.533101,0,1.434104
776.925377,65,97.59582,0,1.478654
-91.255328,65,1.192824,0,1.520857
67.543774,65,8.082912,0,1.561862
-86.45934,65,0.000415,0,1.602943
-205.724006,65,849.318605,0,1.652559
-393.518219,65,1208.372062,0,1.697765
333.766972,65,153.914519,0,1.739773
-8.678916,65,156.042696,0,1.780677
-141.126786,65,17.325654,0,1.82568
150.423258,65,0.636236,0,1.867948
-292.860856,65,193.206545,0,1.911027
-422.759122,65,1754.066062,0,1.956251
559.857748,65,1844.067691,0,1.999432
-45.66872,65,43.193326,0,2.041424
-400.446918,65,0.391365,0,2.084412
3165.839666,65,46.930663,0,2.127061
-405.88748,65,151.241725,0,2.17587
-59.407948,65,145.35243,0,2.218851
96.357654,65,3.312564,0,2.261202
-42.633631,65,334.248175,0,2.303287
53.122673,65,19.185719,0,2.995584
-293.295566,65,79.028288,0,3.036223
0.619257,65,136.806294,0,3.077157
211.078977,65,30.527066,0,3.118418
-128.438901,65,0.0,0,3.164194
309.987568,65,105.657063,0,3.234601
-234.99443,65,114.862197,0,3.321178
-37.088938,65,10.216866,0,3.367823
85.401667,65,4194.085061,0,3.409919
25.44281,65,192.262937,0,3.450919
-139.76172,65,10.55276,0,3.492485
66.578985,65,492.565716,0,3.53329
246.795522,65,1131.699559,0,3.574094
-59.997729,65,0.061197,0,3.61464
-105.888498,65,115.531693,0,3.657441
121.539799,65,153.42303,0,3.703225
27.982553,65,11.666894,0,3.744935
676.810088,65,12.654662,0,3.78632
70.88333,65,73.759121,0,3.827405
19.42507,65,0.0,0,3.867929
-13.262984,65,5.752928,0,3.909272
69.896024,65,0.617161,0,3.949813
-20.552861,65,117.937267,0,3.991152
588.08312,65,559.615742,0,4.032663
-104.295588,65,7.104283,0,4.073493
246.319896,65,708.242557,0,4.114328
-1341.683946,65,2293.27542,0,4.15618
28.889757,65,4.516856,0,4.205165
-54.779556,65,23.682072,0,4.246543
57.56818,65,21.027024,0,4.288414
-23.148756,65,0.0,0,4.350963
11.766048,65,0.011534,0,4.436172
-31.230164,65,0.726188,0,5.002093
1412.167544,65,854.235327,0,5.043222
-76.516279,65,228.23335,0,5.084679
25.532533,65,6.202896,0,5.125661
1427.971959,65,4195.975695,0,5.171754
-168.68666,65,25.152661,0,5.289063
-155.141061,65,9.149808,0,5.340809
-142.902246,65,241.344227,0,5.383499
452.499943,65,5291.425584,0,5.430689
-345.762105,65,2.640881,0,5.477216
-439.548915,65,59.149294,0,5.520265
-112.636572,65,256.176352,0,5.56172
-86.684452,65,254.814227,0,5.602517
-88.122342,65,5.306614,0,5.643726
23.455221,65,4.920749,0,5.691549
11.863042,65,278.722745,0,5.735453
-842.120506,65,3281.335189,0,5.778721
-23.966785,65,0.0,0,5.819834
-167.845645,65,61.327039,0,5.860809
169.393962,65,343.110357,0,5.904256
-482.127166,65,0.205732,0,5.945504
-103.059843,65,303.54342,0,5.987022
-44.707265,65,9.485258,0,6.027859
158.936427,65,62.149889,0,6.071301
70.934815,65,3.945733,0,6.113121
180.711897,65,42.371276,0,6.153952
102.714452,65,0.002157,0,6.202119
-44.291393,65,334.482222,0,6.245221
72.697683,65,137.127622,0,6.29346
-62.057099,65,2.481662,0,6.379855
631.338622,65,1637.904644,0,6.440731
722.246022,65,905.669038,0,7.003369
194.033687,65,111.576387,0,7.043945
-8.757407,65,33.869241,0,7.084905
-81.252162,65,2.696498,0,7.127897
-16.061492,65,16.405987,0,7.172328
-323.839047,65,64.715717,0,7.244951
-21.888956,65,24.271692,0,7.328788
15.613489,65,9.794604,0,7.374145
-4.655773,65,17.342649,0,7.415642
-67.692574,65,1.243097,0,7.456567
-64.429814,65,1220.289362,0,7.499099
-103.012011,65,908.087399,0,7.540417
139.69246,65,1.441818,0,7.581124
-81.883398,65,216.539686,0,7.622957
-342.748575,65,212.316325,0,7.663803
256.118172,65,534.117082,0,7.711483
320.037884,65,21.775397,0,7.753068
5.867429,65,82.43183,0,7.794262
-393.480414,65,1245.499053,0,7.835449
377.39414,65,386.545678,0,7.876744
-101.219584,65,2.669263,0,7.917856
-320.86852,65,6.428708,0,7.959372
-53.88771,65,174.660063,0,8.000421
-185.941908,65,93.629968,0,8.041371
-27.741435,65,21.700922,0,8.082188
-33.411587,65,13.485395,0,8.123352
223.383775,65,4.91255,0,8.164723
1.492925,65,0.0,0,8.212337
-9.61091,65,4.715215,0,8.253881
-340.025447,65,1108.55148,0,8.295076
-96.999082,65,29.831253,0,8.362113
173.821791,65,2.203316,0,8.439631
-14.253879,65,0.077512,0,9.001491
11.875603,65,0.0,0,9.04256
111.443184,65,44.126348,0,9.083622
