advantage_lam,alpha3,approxkl,clipfrac,cliprange,ent_coef,eplenmean,eplrewmean,eprewmean,explained_variance_l,explained_variance_v,fps,gamma,lf_coef,lr_a,lyapunov_lambda,lyapunov_loss,max_grad_norm,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss,vf_coef,violation_times
0.95,1.5150000000000002e-09,0.0034933847,0.03305664,<function constfn.<locals>.f at 0x1c41165400>,0.0,65.0,71.89724867741936,0.022444000000000103,-0.004708528518676758,0.03240692615509033,921,0.99,0.5,<function mujoco.<locals>.<lambda> at 0x1c41165488>,1.0016406,2.6378093,0.5,1,2.822088,-0.004967757,2048,2.2235119342803955,2048,0.6032409,0.5,22.225806451612904
,1.5301500000000003e-09,0.0028426307,0.02578125,,,65.0,67.24428076190476,-0.6675911111111109,0.003023803234100342,-0.00034546852111816406,1004,,,,0.9998681,1.4259534,,2,2.8187413,-0.0032762974,4096,4.26282000541687,4096,0.36877313,,22.857142857142858
,2.3181772500000007e-09,0.004633298,0.054052733,,,65.0,73.03966391489361,-1.2514920106382978,-0.0006709098815917969,-0.02498948574066162,1036,,,,0.98523724,2.3389094,,3,2.8285823,-0.006596354,6144,6.238219976425171,6144,0.3418908,,24.074468085106382
,3.512038533750001e-09,0.005807729,0.0690918,,,65.0,78.33252614999999,-1.3691350999999998,0.007146775722503662,-0.09999203681945801,1058,,,,0.94927675,2.5504355,,4,2.8643365,-0.009153442,8192,8.174293994903564,8192,0.17930806,,25.25
,5.320738378631252e-09,0.0056637404,0.066259764,,,65.0,98.33052469,0.24327493999999997,0.015941619873046875,-0.006881237030029297,1093,,,,0.9147307,3.2853637,,5,2.901725,-0.008270972,10240,10.048293113708496,10240,0.7510101,,28.43
,8.060918643626347e-09,0.0031685457,0.030859375,,,65.0,110.79298287999998,1.0298015500000002,0.025294482707977295,0.02092665433883667,1108,,,,0.9062564,3.3304029,,6,2.9181314,-0.006753447,12288,11.896865844726562,12288,0.4864677,,29.07
,1.2212291745093916e-08,0.0019250431,0.014160156,,,65.0,122.26361302999997,1.64772502,0.025081098079681396,0.004146277904510498,1076,,,,0.90269023,2.8965092,,7,2.9275117,-0.0011713059,14336,13.79938292503357,14336,0.46960002,,31.5
,1.2334414662544855e-08,0.004893755,0.05883789,,,65.0,108.12941489000002,0.8427408800000002,0.04160505533218384,-0.004255533218383789,1119,,,,0.89330024,0.8242897,,8,2.9426234,-0.0073229196,16384,15.62915301322937,16384,0.21986032,,28.77
,1.2457758809170304e-08,0.0067163096,0.07807617,,,65.0,92.96055299,-0.25230220999999997,0.037663161754608154,-0.019419074058532715,1105,,,,0.87825745,1.4977604,,9,2.9424577,-0.008924705,18432,17.481647968292236,18432,0.3758834,,26.95
,1.2582336397262007e-08,0.0061726216,0.07260742,,,65.0,84.61160502999999,0.06036276999999999,0.04143118858337402,-0.0675954818725586,1105,,,,0.8625914,1.0437793,,10,2.9299507,-0.011150102,20480,19.334665060043335,20480,0.2237405,,26.25
,1.2708159761234627e-08,0.0018038265,0.013867187,,,65.0,89.6068791,0.29611193000000013,0.04458272457122803,0.1063266396522522,1095,,,,0.854002,1.4707634,,11,2.9280965,-0.0006666665,22528,21.20504403114319,22528,0.45117903,,25.9
,1.2835241358846973e-08,0.010138381,0.1294922,,,65.0,93.34427721,-0.7678204399999998,0.05605500936508179,-0.058992743492126465,1108,,,,0.84277296,0.85312015,,12,2.9569533,-0.018661484,24576,23.052479028701782,24576,1.024888,,27.45
,1.2963593772435443e-08,0.011088884,0.14384766,,,65.0,96.08322893999998,-0.8304114000000001,0.06286078691482544,0.06064009666442871,1103,,,,0.81584895,0.6882831,,13,2.9879942,-0.017335981,26624,24.90939998626709,26624,0.34612155,,27.68
,1.3093229710159797e-08,0.005379948,0.05986328,,,65.0,98.29718718999999,-1.45033023,0.06930148601531982,0.1087610125541687,1106,,,,0.7958279,0.61006653,,14,3.001777,-0.005459071,28672,26.761411905288696,28672,0.3313241,,28.74
,1.3224162007261395e-08,0.005387743,0.059033204,,,65.0,93.44303156000002,-0.8505725099999997,0.06950211524963379,-0.04080331325531006,1105,,,,0.78669155,0.38427824,,15,3.0125694,-0.0059597422,30720,28.613778114318848,30720,0.5197382,,28.52
,1.335640362733401e-08,0.0074323653,0.086523436,,,65.0,87.06393232999999,-1.5130362400000001,0.07811146974563599,0.0017060637474060059,1093,,,,0.77272505,0.40648788,,16,3.021933,-0.00852867,32768,30.48754906654358,32768,0.46614543,,26.58
,1.348996766360735e-08,0.019808458,0.1397461,,,65.0,86.93792986999999,-2.5196078499999994,0.07044410705566406,-0.0493239164352417,1117,,,,0.75402874,0.74529845,,17,3.0489361,-0.03498116,34816,32.32000803947449,34816,1.026848,,26.61
,1.3624867340243424e-08,0.03256464,0.23183593,,,65.0,116.40205748,-1.3319849700000004,0.044554173946380615,-0.011367440223693848,1085,,,,0.71968675,4.0717096,,18,3.0669394,-0.02969996,36864,34.20657396316528,36864,2.4420254,,29.29
,2.0641674020468785e-08,0.02883244,0.2605957,,,65.0,131.38846859,-0.5996132800000002,0.03039795160293579,-0.02388322353363037,1105,,,,0.69061416,5.2872286,,19,3.0836313,-0.048574515,38912,36.05982494354248,38912,1.4412043,,29.81
,3.1272136141010214e-08,0.015211503,0.1506836,,,65.0,133.57776195,1.0916212600000001,0.053150951862335205,0.1242796778678894,1111,,,,0.65726316,1.6835006,,20,3.1215518,-0.028474972,40960,37.9025559425354,40960,0.23435633,,30.32
,4.7377286253630477e-08,0.003718588,0.03793945,,,65.0,133.69271657000002,0.45388126999999984,0.07466632127761841,0.004299938678741455,1113,,,,0.63888633,1.0843092,,21,3.1342466,-0.008709747,43008,39.742260217666626,43008,0.8221213,,29.61
,4.785105911616678e-08,0.04386188,0.2659668,,,65.0,127.13062603,-0.7133954699999999,0.05836927890777588,0.013389110565185547,1110,,,,0.61828923,2.6646373,,22,3.1335685,-0.08772512,45056,41.58718705177307,45056,1.8344815,,27.82
,4.832956970732845e-08,0.0053484105,0.05834961,,,65.0,128.34573931,-2.0473803700000004,0.0765540599822998,-0.1086418628692627,1104,,,,0.5837611,0.53873515,,23,3.1350124,-0.015617512,47104,43.441105127334595,47104,0.2631396,,28.14
,4.8812865404401734e-08,0.019177746,0.16103515,,,65.0,122.72903596,-3.04426334,0.08711093664169312,0.040024399757385254,1121,,,,0.5722762,0.4364604,,24,3.1354618,-0.05152926,49152,45.267534017562866,49152,0.15551431,,28.77
,4.9300994058445754e-08,0.014013591,0.12207031,,,65.0,98.94939832000001,-0.030209309999999955,0.08123427629470825,0.12317419052124023,1090,,,,0.5525073,0.4923075,,25,3.1418893,-0.024795448,51200,47.145833015441895,51200,0.27571854,,27.61
,4.979400399903021e-08,0.0055994987,0.06035156,,,65.0,107.70210349000001,1.51592221,0.07822579145431519,-0.012524724006652832,1109,,,,0.5418401,0.6135281,,26,3.149986,-0.012673611,53248,48.99148893356323,53248,0.31815895,,28.37
,5.029194403902051e-08,0.00944191,0.12172852,,,65.0,106.79385907,4.82957066,0.0921429991722107,-0.0313262939453125,1113,,,,0.5349306,0.2201576,,27,3.1523983,-0.01808254,55296,50.831130027770996,55296,0.9570519,,29.65
,5.0794863479410714e-08,0.0055134194,0.06069336,,,65.0,114.24802101999998,3.0998308800000003,0.08310288190841675,-0.04787278175354004,1119,,,,0.5280979,0.6595291,,28,3.162198,-0.013195559,57344,52.66114592552185,57344,0.43020898,,30.26
,7.695421817130724e-08,0.008068575,0.10058594,,,65.0,139.5843853,2.3804250600000008,0.07898443937301636,0.03734934329986572,1117,,,,0.52108777,1.1200153,,29,3.1561143,-0.033007424,59392,54.49490809440613,59392,0.48977304,,32.09
,7.772376035302031e-08,0.024413023,0.20776367,,,65.0,137.47975822,-0.6525537100000001,0.09137982130050659,0.07817012071609497,1113,,,,0.5055256,0.32627058,,30,3.1475706,-0.05675041,61440,56.334792137145996,61440,0.54216045,,31.04
,1.1775149693482576e-07,0.009078426,0.12294922,,,65.0,144.09051911,2.1649147099999997,0.09439635276794434,0.0168953537940979,1052,,,,0.4847785,0.25419495,,31,3.1601167,-0.02705113,63488,58.28194499015808,63488,0.6350102,,32.15
,1.1892901190417402e-07,0.0050250604,0.052734375,,,65.0,111.92027059000002,2.38042056,0.0906488299369812,0.09216034412384033,1116,,,,0.47564453,0.23937944,,32,3.160168,-0.020196486,65536,60.11590385437012,65536,0.45631295,,29.79
,1.2011830202321577e-07,0.008676392,0.09462891,,,65.0,115.26451466999998,2.74756621,0.09400266408920288,0.009309113025665283,1131,,,,0.46601486,0.27844885,,33,3.1610284,-0.028244141,67584,61.92577004432678,67584,0.6011008,,29.78
,1.2131948504344793e-07,0.005307912,0.066064455,,,65.0,114.85019959000003,4.02278148,0.09504348039627075,0.017646491527557373,1084,,,,0.4563118,0.20954637,,34,3.1679826,-0.016715923,69632,63.81474184989929,69632,0.20944877,,30.32
,1.2253267989388242e-07,0.008942154,0.06523438,,,65.0,114.8279335,3.775745309999999,0.08979392051696777,0.08947145938873291,1107,,,,0.44852537,0.5232828,,35,3.1868367,-0.03487113,71680,65.66414403915405,71680,0.56928337,,30.06
,1.2375800669282124e-07,0.004252283,0.04086914,,,65.0,108.53533614,4.362883350000001,0.09027355909347534,0.1936960220336914,1104,,,,0.43767905,0.2877393,,36,3.1882064,-0.005331199,73728,67.51803207397461,73728,0.3553893,,29.16
,1.2499558675974945e-07,0.024500886,0.20161133,,,65.0,119.59968211999995,4.212892859999999,0.08676403760910034,0.11069309711456299,1104,,,,0.4298377,0.5124698,,37,3.178208,-0.05599479,75776,69.37349605560303,75776,0.6291558,,30.67
,1.2624554262734694e-07,0.0043928493,0.049707033,,,65.0,124.87211074000001,2.73362008,0.08046138286590576,-0.12245285511016846,1124,,,,0.41574836,0.66644806,,38,3.1732152,-0.01489914,77824,71.19591403007507,77824,0.7279905,,30.05
,1.2750799805362041e-07,0.006152232,0.06225586,,,65.0,122.98758778000001,2.98245968,0.0906723141670227,-0.11004245281219482,1093,,,,0.41112152,0.20566085,,39,3.1556,-0.021837179,79872,73.06865286827087,79872,0.12450638,,30.73
,1.2878307803415662e-07,0.018818239,0.16728516,,,65.0,133.14908153,1.37581992,0.08217734098434448,0.017630457878112793,1106,,,,0.40161425,1.0746435,,40,3.1407285,-0.08990736,81920,74.92002487182617,81920,1.0547734,,30.59
,1.3007090881449818e-07,0.007177417,0.09106445,,,65.0,118.16579526,1.9549148900000004,0.09416735172271729,0.04814368486404419,1121,,,,0.38787523,0.22247756,,41,3.1471932,-0.026159072,83968,76.74586009979248,83968,0.3695405,,29.93
,1.3137161790264316e-07,0.0074952976,0.095263675,,,65.0,131.293373,3.8660122200000004,0.08557862043380737,0.05397278070449829,1090,,,,0.38204172,0.6269539,,42,3.158665,-0.029676732,86016,78.62522888183594,86016,0.8904996,,30.13
,1.326853340816696e-07,0.004362813,0.04321289,,,65.0,120.40561595999998,2.6885897200000004,0.0748293399810791,0.16889679431915283,1121,,,,0.37571797,1.1834645,,43,3.1571386,-0.026825732,88064,80.45127487182617,88064,0.34407935,,28.84
,1.3401218742248628e-07,0.008636555,0.0796875,,,65.0,116.48006744,4.1247188800000005,0.08512771129608154,0.10256236791610718,1110,,,,0.36749515,0.5070226,,44,3.1442509,-0.051077694,90112,82.29568409919739,90112,0.45770591,,27.94
,1.3535230929671116e-07,0.003681498,0.03696289,,,65.0,111.81708268999999,3.6648273000000002,0.0778154730796814,0.21779632568359375,1091,,,,0.3588226,0.75229436,,45,3.1448534,-0.0071593397,92160,84.17234492301941,92160,0.5512696,,26.43
,1.3670583238967828e-07,0.005023867,0.049365234,,,65.0,85.37452583,1.0810221400000004,0.0937948226928711,0.22056543827056885,1118,,,,0.3570938,0.1892926,,46,3.1484408,-0.014599213,94208,86.00399613380432,94208,0.2613235,,24.68
,1.3807289071357506e-07,0.007518884,0.07192383,,,65.0,98.34562082000001,0.96880057,0.07253217697143555,0.15022414922714233,1107,,,,0.35205474,1.6451374,,47,3.1509097,-0.048256274,96256,87.85393285751343,96256,0.65761834,,24.51
,1.3945361962071082e-07,0.026411071,0.12539062,,,65.0,110.89430061000002,-2.02501882,0.04988384246826172,-0.1372143030166626,1110,,,,0.33810547,7.5882425,,48,3.1686385,-0.1156175,98304,89.69918513298035,98304,0.79192555,,23.78
,1.4084815581691793e-07,0.007983263,0.0949707,,,65.0,130.70753193000002,0.8840942499999997,0.08351767063140869,0.17558163404464722,1116,,,,0.32047468,1.2135412,,49,3.1716776,-0.01691878,100352,91.53364706039429,100352,0.72600645,,25.98
,1.422566373750871e-07,0.007323019,0.0847168,,,65.0,125.33169655000002,2.5037873900000007,0.08700889348983765,0.2822337746620178,1083,,,,0.31767103,0.3958498,,50,3.1453707,-0.02499379,102400,93.42456698417664,102400,0.25616422,,26.81
,1.4367920374883797e-07,0.004566064,0.050341796,,,65.0,142.35727355,4.66650258,0.08190226554870605,0.20631861686706543,1115,,,,0.31351072,0.69592893,,51,3.1487117,-0.03566418,104448,95.26163792610168,104448,0.5430135,,30.43
,1.4511599578632636e-07,0.0067566037,0.068164065,,,65.0,102.10767501000001,6.5380092900000015,0.08792996406555176,0.15107011795043945,1107,,,,0.30765638,0.19870917,,52,3.156362,-0.029369285,106496,97.11101508140564,106496,0.2555391,,27.38
,1.4656715574418962e-07,0.0068627694,0.08798828,,,65.0,97.26363916,2.1883470099999993,0.07687270641326904,-0.016082048416137695,1121,,,,0.30301803,1.4148319,,53,3.1564121,-0.02767762,108544,98.93735218048096,108544,0.7901934,,25.92
,1.4803282730163152e-07,0.005309799,0.061083984,,,65.0,85.01149124999998,2.88707043,0.08891063928604126,0.1944388747215271,1123,,,,0.29958707,0.33627212,,54,3.163939,-0.025955806,110592,100.76045823097229,110592,0.68076074,,25.18
,1.4951315557464783e-07,0.009275653,0.122851565,,,65.0,100.75989899,3.2705273399999992,0.08221769332885742,0.04620683193206787,1130,,,,0.2940452,0.9451502,,55,3.1601722,-0.054515123,112640,102.57254219055176,112640,0.7564925,,26.28
,1.510082871303943e-07,0.0052491566,0.060546875,,,65.0,101.39265119,5.4403742699999995,0.0943102240562439,0.15586453676223755,1118,,,,0.28918266,0.36873737,,56,3.1547298,-0.0105020795,114688,104.40338802337646,114688,0.810958,,27.42
,1.5251837000169823e-07,0.004266837,0.04638672,,,65.0,103.34429180000001,4.79695856,0.09121847152709961,0.04285770654678345,1123,,,,0.28709123,0.37293804,,57,3.157752,-0.016727319,116736,106.22646117210388,116736,0.83144397,,26.89
,1.5404355370171523e-07,0.0074925954,0.08544922,,,65.0,105.42978753000001,2.259566830000001,0.09449553489685059,0.2113804817199707,1100,,,,0.2837742,0.3297308,,58,3.1679773,-0.03237322,118784,108.08833813667297,118784,0.34794277,,27.87
