advantage_lam,alpha3,approxkl,clipfrac,cliprange,ent_coef,eplenmean,eplrewmean,eprewmean,explained_variance_l,explained_variance_v,fps,gamma,lf_coef,lr_a,lyapunov_lambda,lyapunov_loss,max_grad_norm,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss,vf_coef,violation_times
0.95,1.5150000000000002e-09,0.002983102,0.027734375,<function constfn.<locals>.f at 0x1c3bcdd620>,0.0,65.0,82.53152029032256,-0.7006372903225805,-0.0019184350967407227,-0.11297440528869629,890,0.99,0.5,<function mujoco.<locals>.<lambda> at 0x1c3013d378>,0.99800235,2.6846833,0.5,1,2.8486755,-0.0048342026,2048,2.2992849349975586,2048,0.37731397,0.5,26.93548387096774
,2.2952250000000002e-09,0.0032502674,0.029248048,,,65.0,91.12101963492061,-0.20970888888888883,0.005696713924407959,-0.022190213203430176,904,,,,0.99316007,3.394942,,2,2.8413577,-0.0055036,4096,4.56302285194397,4096,0.8250791,,27.603174603174605
,2.3181772500000003e-09,0.0025975339,0.022314453,,,65.0,88.79216100000002,0.0077139255319149756,-9.775161743164062e-05,0.15693354606628418,1029,,,,0.98563373,2.2733746,,3,2.8377166,-0.0035236725,6144,6.552074909210205,6144,0.3948066,,27.574468085106382
,3.5120385337500002e-09,0.0038591134,0.042578124,,,65.0,91.25646265000002,-0.3082157899999999,0.010403096675872803,-0.05542314052581787,1013,,,,0.9741108,2.4244044,,4,2.8417406,-0.0057055233,8192,8.574151039123535,8192,0.48199087,,28.14
,3.5471589190875004e-09,0.0044614193,0.04814453,,,65.0,80.09602717,-0.5329568300000002,0.01715230941772461,0.05756503343582153,1017,,,,0.96599686,1.1214242,,5,2.8335266,-0.006406686,10240,10.586586952209473,10240,0.13919577,,26.47
,3.5826305082783754e-09,0.005992291,0.07368164,,,65.0,77.07499958000001,-1.8164323399999998,0.0058686137199401855,-0.18645799160003662,990,,,,0.95189047,2.7296164,,6,2.8299184,-0.0069738827,12288,12.655606031417847,12288,0.7912184,,25.01
,3.618456813361159e-09,0.0033196781,0.03515625,,,65.0,72.73270980999999,-1.8534469800000004,0.021977484226226807,-0.06663548946380615,970,,,,0.9367396,2.1095777,,7,2.8283691,-0.0053083617,14336,14.76629900932312,14336,0.18890041,,23.84
,3.654641381494771e-09,0.0054150596,0.06479492,,,65.0,80.5021101,-0.9987149399999998,0.03790539503097534,-0.010261297225952148,965,,,,0.92464703,1.6094322,,8,2.8456645,-0.0073870183,16384,16.887048959732056,16384,0.28696167,,23.88
,3.6911877953097185e-09,0.0059427675,0.07529297,,,65.0,84.28118511000001,0.48552104,0.030051469802856445,0.046788573265075684,976,,,,0.90586215,1.8432337,,9,2.8535407,-0.009075185,18432,18.983901977539062,18432,0.4724585,,24.28
,5.5921495098942235e-09,0.0046200557,0.054589845,,,65.0,104.65154148000002,1.6395577599999998,0.03827357292175293,-0.10676419734954834,965,,,,0.8937491,2.682976,,10,2.8575718,-0.0067789457,20480,21.105064868927002,20480,0.8147566,,26.96
,5.6480710049931656e-09,0.018292462,0.1784668,,,65.0,90.45101709999999,2.0762187299999995,0.04142439365386963,0.01167762279510498,958,,,,0.87682915,0.9827877,,11,2.8652532,-0.016732106,22528,23.241540908813477,22528,0.3868043,,25.57
,5.704551715043097e-09,0.008490532,0.11459961,,,65.0,98.7127333,2.01331087,0.03857189416885376,-0.038689374923706055,961,,,,0.8407071,2.7850702,,12,2.876152,-0.011020768,24576,25.37167000770569,24576,2.1228282,,25.1
,5.761597232193528e-09,0.013521736,0.14995117,,,65.0,99.48089565000001,0.5162788600000002,0.0330660343170166,0.04779726266860962,1029,,,,0.818514,5.385346,,13,2.8959153,-0.018375192,26624,27.361799001693726,26624,0.70157534,,23.08
,5.819213204515463e-09,0.010025588,0.12207031,,,65.0,102.40046310999998,0.9803037400000002,0.045834124088287354,-0.040430665016174316,994,,,,0.79054683,1.186475,,14,2.9157965,-0.018301923,28672,29.42148995399475,28672,0.3991469,,23.6
,8.816108004840928e-09,0.009363571,0.124853514,,,65.0,119.56475966999999,-2.7075023799999998,0.032846927642822266,-0.008641719818115234,952,,,,0.7678641,6.3438063,,15,2.9511144,-0.011834188,30720,31.572252988815308,30720,1.417764,,24.91
,8.904269084889337e-09,0.005674005,0.068798825,,,65.0,111.26772859,-3.000591879999999,0.05395394563674927,-0.0015603303909301758,1009,,,,0.7566806,2.0156684,,16,2.969632,-0.010436938,32768,33.601871967315674,32768,0.7989315,,24.1
,1.3489967663607345e-08,0.007068526,0.08017578,,,65.0,127.20260505999998,-0.7650451899999996,0.038861870765686035,0.03235882520675659,984,,,,0.7462301,5.0826197,,17,2.9588015,-0.010109043,34816,35.682737827301025,34816,1.1336824,,24.55
,1.3624867340243419e-08,0.007620387,0.09331055,,,65.0,96.45455382,0.32759514999999967,0.06517624855041504,-0.05088770389556885,956,,,,0.7310061,0.8562357,,18,2.9615808,-0.020906825,36864,37.82425093650818,36864,0.3814716,,20.23
,1.3761116013645854e-08,0.035236273,0.17612305,,,65.0,102.97089084999998,3.751482590000001,0.03518921136856079,0.004120051860809326,1008,,,,0.7015811,7.4795656,,19,2.972722,-0.045394596,38912,39.856398820877075,38912,0.705299,,19.48
,1.3898727173782312e-08,0.013197082,0.1461914,,,65.0,107.45899493999995,1.4613899000000004,0.04663032293319702,0.17694473266601562,990,,,,0.6563325,2.708064,,20,2.9888642,-0.032556932,40960,41.925731897354126,40960,0.11948536,,21.11
,1.4037714445520136e-08,0.0046976935,0.05625,,,65.0,102.07244376999998,2.3611884400000003,0.07636898756027222,0.033115506172180176,1004,,,,0.6352836,0.42165047,,21,3.021359,-0.012445224,43008,43.96428179740906,43008,0.36168396,,22.84
,1.4178091589975338e-08,0.0037339493,0.03618164,,,65.0,94.96331237999999,-1.12170124,0.06925630569458008,-0.004446506500244141,848,,,,0.62924546,0.8103983,,22,3.024818,-0.00896994,45056,46.378101110458374,45056,0.41979903,,24.56
,1.4319872505875091e-08,0.008966443,0.08491211,,,65.0,91.34331418,0.03841631999999997,0.09226226806640625,-0.09917473793029785,919,,,,0.61876243,0.23575449,,23,3.013707,-0.02722185,47104,48.605602979660034,47104,0.047206793,,23.5
,1.4463071230933841e-08,0.005818116,0.072021484,,,65.0,97.37945044999998,3.4502477999999996,0.0517154335975647,0.009573817253112793,964,,,,0.60227066,4.1373205,,24,3.019418,-0.012863603,49152,50.72881317138672,49152,0.5454597,,22.77
,1.460770194324318e-08,0.011422533,0.119091794,,,65.0,91.72679378000002,5.529702919999998,0.09135842323303223,0.05332493782043457,950,,,,0.5893309,0.25844902,,25,3.0199761,-0.034052525,51200,52.883431911468506,51200,0.69434935,,22.68
,1.475377896267561e-08,0.006333848,0.07299805,,,65.0,88.63445696000002,4.9595600300000005,0.07722759246826172,0.13880598545074463,1011,,,,0.56901264,0.8436136,,26,3.0387597,-0.027006451,53248,54.90867209434509,53248,0.2038641,,21.2
