# {"t_start": 1557857331.0085928, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
-7.383169,65,171.715609,53,1.124809
-3.731093,65,211.074421,48,1.167423
-2.855946,65,7.546793,6,1.212999
2.240171,65,17.448827,8,1.264894
-9.304521,65,355.333904,54,1.336128
0.396604,65,42.43336,21,1.382188
-0.504632,65,94.170556,40,1.425485
2.273841,65,26.314762,15,1.466956
-5.319147,65,91.213176,44,1.508733
-1.602155,65,157.563625,44,1.552128
-1.017393,65,18.739062,14,1.595275
4.660772,65,140.267558,45,1.636806
5.779017,65,107.792701,39,1.679156
0.333037,65,40.364624,27,1.720931
2.760485,65,69.707929,34,1.764822
-2.775244,65,154.618066,38,1.819072
-0.760156,65,6.779165,4,1.867299
-0.12347,65,5.166488,5,1.920747
-2.616359,65,65.79549,25,1.978554
2.946448,65,18.023494,15,2.024517
-1.533272,65,26.01182,18,2.070552
-3.943875,65,9.551698,5,2.119637
3.214916,65,156.860527,44,2.173335
-0.243443,65,11.093072,10,2.220491
7.643527,65,190.411198,40,2.264031
-7.740821,65,50.393951,20,2.308561
-1.265095,65,90.496155,28,2.358799
2.76072,65,155.505139,47,2.412578
-0.821948,65,36.68623,23,2.473683
-3.500655,65,14.989593,10,2.536215
0.3131,65,14.408136,11,2.584848
2.134289,65,70.327131,21,3.382597
3.462099,65,34.840317,19,3.425303
-1.016066,65,33.526182,20,3.46837
-0.439855,65,9.755923,8,3.511854
-0.124162,65,40.31851,18,3.556202
0.902574,65,2.482823,0,3.739548
6.888501,65,76.169913,28,3.796623
4.287521,65,221.127395,37,3.850961
13.141623,65,134.556936,48,3.912742
0.732552,65,7.577005,5,3.957704
-23.839398,65,172.284768,53,4.001686
0.798506,65,4.370722,3,4.046438
-6.330124,65,75.005489,39,4.105289
0.190266,65,46.428352,22,4.154705
0.417787,65,255.813979,47,4.198759
-4.28682,65,35.517063,17,4.24213
-8.975865,65,52.050598,24,4.28709
-3.806483,65,193.746195,35,4.338251
-1.672419,65,4.246808,3,4.382358
3.416802,65,165.257498,59,4.430211
-2.424433,65,22.351987,19,4.474595
9.326394,65,482.427471,54,4.524736
-1.022339,65,60.722633,29,4.583941
1.489011,65,198.661187,60,4.632787
5.113714,65,244.551142,47,4.682776
0.122159,65,24.846531,18,4.727805
27.199664,65,23.227916,19,4.808515
-12.82159,65,228.469306,62,4.856168
0.143732,65,4.888709,4,4.900341
-13.499,65,24.447598,10,4.945118
5.171495,65,35.736946,19,4.991112
3.827961,65,196.412075,57,5.036573
-2.674154,65,187.41286,58,5.666421
-3.7526,65,54.222207,27,5.710121
-0.905868,65,74.864082,40,5.757507
1.024155,65,35.471606,24,5.799534
-3.415473,65,80.521964,39,5.85705
-3.704577,65,141.831101,43,5.924743
-0.435596,65,5.555506,5,5.982198
1.163375,65,286.236096,60,6.026821
-2.17214,65,39.313175,17,6.068348
-0.879588,65,313.765068,54,6.110355
-2.131509,65,82.954545,23,6.152886
-1.390895,65,1.72709,1,6.197387
0.436968,65,87.176234,37,6.238731
2.622397,65,74.468019,41,6.280948
-2.685036,65,22.291112,13,6.321776
11.592237,65,263.916414,52,6.363682
-0.051039,65,24.618731,14,6.411444
-0.716521,65,0.731506,1,6.453292
1.634883,65,130.034508,47,6.494877
2.502674,65,9.040248,7,6.541915
2.146354,65,72.619247,26,6.583476
1.770827,65,65.10479,36,6.625178
1.193692,65,40.452943,17,6.669183
13.713416,65,139.504829,47,6.710884
9.05339,65,62.786065,16,6.751946
-3.305068,65,36.731065,25,6.794615
-35.011258,65,15.63727,10,6.835992
0.343144,65,0.806523,0,6.880307
2.726167,65,64.389868,32,6.92288
25.173549,65,186.902375,39,6.965927
0.070863,65,4.75185,2,7.009686
-2.158437,65,19.616208,15,7.632509
-1.067826,65,9.930843,8,7.673965
8.071521,65,141.724467,51,7.717036
-0.089928,65,0.0,0,7.758445
-0.119759,65,60.027375,31,7.799984
0.703751,65,94.294651,35,7.851925
0.510472,65,11.664355,10,7.908226
4.291835,65,157.28164,46,7.961215
-6.841952,65,67.036728,30,8.004042
14.844839,65,408.846968,55,8.04699
-4.900506,65,150.641524,41,8.09064
-10.104859,65,109.317935,50,8.133836
-10.718004,65,106.408233,37,8.175616
-0.944214,65,123.704261,31,8.217247
0.951379,65,6.98199,5,8.268192
4.389818,65,299.430366,48,8.319605
-1.978611,65,88.597184,39,8.364263
7.127653,65,353.343211,55,8.414653
0.466066,65,6.057349,5,8.457835
-3.101729,65,191.629756,62,8.499982
2.149793,65,129.332901,52,8.556498
-12.66599,65,53.120446,20,8.601411
0.945338,65,1.65566,1,8.645536
0.879448,65,15.37273,11,8.689707
2.915452,65,63.876735,27,8.731448
-0.008337,65,1.014571,1,8.773468
-33.849945,65,66.346837,22,8.820234
-6.42764,65,70.247809,38,8.861431
-0.26857,65,84.415732,34,8.903414
-2.921957,65,34.632274,26,8.944673
-1.52368,65,40.890218,18,8.987756
0.692013,65,58.13405,34,9.034504
-4.315253,65,10.491522,6,9.676422
-21.674361,65,30.073605,15,9.723915
-1.208245,65,126.874982,36,9.771206
3.077786,65,1.674349,2,9.813539
-4.459129,65,200.700827,46,9.861843
1.130343,65,0.102261,0,9.922869
2.591156,65,6.704934,5,9.98163
-3.00836,65,0.36215,0,10.033333
-1.18601,65,78.903514,37,10.080399
0.850559,65,5.73607,5,10.124058
0.535258,65,38.887988,26,10.166553
-0.000266,65,7.992793,6,10.208169
3.097806,65,58.365838,24,10.250764
-1.081105,65,16.918176,11,10.295342
0.441309,65,15.260811,10,10.341743
1.723217,65,99.977099,35,10.387134
0.047067,65,72.972953,26,10.429405
1.809571,65,200.712434,51,10.471319
-1.220444,65,101.159395,49,10.513594
-0.762132,65,7.194535,3,10.555926
-1.622818,65,18.655002,11,10.59854
10.829921,65,143.30512,49,10.641673
4.115553,65,199.680138,44,10.683671
-17.646083,65,78.286714,35,10.725713
1.488144,65,131.646356,46,10.768878
-1.270305,65,5.475387,3,10.815323
0.077691,65,68.541691,25,10.856497
-0.572489,65,0.040114,0,10.898088
-0.146287,65,61.127422,36,10.939612
0.839517,65,32.664092,22,10.982041
1.016241,65,44.517991,21,11.024714
-4.631993,65,36.386038,15,11.669725
-3.591249,65,105.255349,42,11.718046
-0.978867,65,8.7926,5,11.761834
0.488502,65,4.913173,3,11.808057
-0.103664,65,11.339677,6,11.853606
1.950238,65,18.482292,10,11.918605
-1.976269,65,118.875646,45,11.992479
-0.68422,65,20.122854,13,12.049875
-3.617877,65,174.149383,51,12.09902
-69.338901,65,456.12542,50,12.142362
1.631809,65,14.283603,11,12.185198
1.226305,65,29.914158,21,12.226619
-0.976198,65,11.949155,10,12.269206
-9.893592,65,419.46344,56,12.312802
-0.226525,65,2.071214,1,12.35726
-0.2584,65,103.862299,42,12.399642
-2.856821,65,124.167759,43,12.440959
1.520614,65,37.989568,18,12.482437
0.022818,65,28.108236,17,12.524903
-0.761186,65,159.524514,36,12.566386
-0.294225,65,57.163468,30,12.607655
-0.231736,65,36.192957,24,12.649279
-0.559104,65,38.213632,21,12.691213
14.977083,65,35.480864,25,12.732412
-1.079959,65,79.025579,36,12.780852
-8.227621,65,109.41032,37,12.82548
-1.491035,65,4.903334,3,12.870521
-0.568291,65,7.845866,5,12.914138
1.885164,65,29.140696,20,12.955952
-1.780986,65,104.744633,41,12.999097
-0.628403,65,60.534793,37,13.044946
-6.636396,65,95.998282,21,13.087621
3.215039,65,1.00384,0,13.757728
-1.904528,65,29.299257,15,13.799976
3.555021,65,145.970941,40,13.84137
-1.548752,65,20.349806,8,13.882723
-1.659215,65,123.104784,33,13.938174
-1.634612,65,93.16496,41,14.015578
0.456454,65,21.648308,10,14.08464
3.043053,65,232.654154,54,14.129877
1.082419,65,40.582531,20,14.174058
-0.230804,65,5.561226,2,14.219448
0.287392,65,60.786583,29,14.27128
-4.286681,65,36.482068,21,14.312828
-5.746697,65,64.295077,34,14.354793
-0.52368,65,46.479997,26,14.396725
4.914874,65,24.255915,18,14.438475
-2.837708,65,27.715925,13,14.482326
-0.966331,65,23.021803,15,14.538985
0.517409,65,81.505202,26,14.583193
-10.050102,65,18.959644,10,14.624786
-2.260486,65,77.460906,44,14.674666
-0.091287,65,48.234315,19,14.717154
0.480303,65,2.591294,3,14.760769
-1.625955,65,12.829278,12,14.804725
10.464418,65,35.467799,21,14.849209
3.53432,65,14.597374,11,14.896773
-4.424404,65,38.156843,20,14.939559
-7.163775,65,198.92748,54,14.981376
13.927687,65,144.007395,27,15.022921
-6.123127,65,371.734767,49,15.066722
-12.523762,65,465.350833,55,15.128667
3.271731,65,2.966691,2,15.184696
2.867984,65,28.167813,17,15.84584
-4.050464,65,126.205848,38,15.888199
2.122131,65,1.222268,0,15.929306
1.331076,65,17.926091,13,15.973825
-1.83104,65,398.671644,55,16.02128
-1.111882,65,283.38754,45,16.077904
0.538467,65,68.380284,37,16.146173
-1.960121,65,36.234482,26,16.194969
2.087527,65,94.070929,28,16.238987
1.161742,65,11.115328,8,16.285665
-0.371392,65,2.107738,2,16.334592
3.562066,65,118.04014,39,16.377403
2.539401,65,24.639782,17,16.419439
2.134863,65,80.225371,42,16.459925
24.123696,65,18.376053,11,16.501212
5.718991,65,297.195989,47,16.545558
0.781019,65,5.420786,4,16.589439
19.019942,65,374.213832,49,16.632824
-14.330289,65,28.573075,14,16.675193
-2.527272,65,70.635062,33,16.716676
1.586018,65,15.432133,6,16.759782
-18.623036,65,215.888851,38,16.803
-13.921457,65,122.767528,35,16.848959
-1.89207,65,26.491676,9,16.913983
0.309852,65,6.517464,4,16.961434
1.61674,65,27.220164,14,17.005623
-0.958013,65,107.270352,32,17.049343
-0.197847,65,33.902074,20,17.091252
2.251058,65,113.993997,46,17.135119
1.167524,65,7.884886,7,17.183127
-1.474155,65,17.274059,13,17.23608
1.785545,65,10.268663,8,17.287418
-5.702556,65,37.515532,17,17.991134
-5.877601,65,174.021854,49,18.035063
0.979781,65,62.175816,23,18.080211
0.913997,65,39.588772,28,18.126278
6.512227,65,44.955823,24,18.178564
4.060078,65,157.989203,47,18.249971
5.306088,65,407.756769,42,18.310427
0.419332,65,1.916661,1,18.352975
-0.255999,65,70.108744,38,18.398928
-1.604147,65,94.60482,39,18.44351
4.598159,65,60.205696,31,18.489423
1.929391,65,18.744657,12,18.533232
2.190193,65,33.408709,13,18.575543
